Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,gradient_clip,mul_name,qtype,test_acc_top1,Mode
2023-10-12 02:08:20,8.1min,57d19a545cf94cc3afdc28c2b7a999ba,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x4u_579,8x4_affine_per_channel,0.9925000071525574,testing
2023-10-12 02:00:12,8.1min,63f8c2e07d44468c8ae7189857fd3650,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x4u_579,8x4_affine_per_tensor,0.9922999739646912,testing
2023-10-12 09:57:09,8.4min,d11285f17a1d4745a7d2f3477253523d,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x4u_49L,8x4_affine_per_channel,0.992900013923645,testing
2023-10-12 09:48:50,8.3min,67ddb0277fa34d7d93b7d31a8bd3c40d,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x4u_49L,8x4_affine_per_tensor,0.9926999807357788,testing
2023-10-11 21:17:40,8.2min,dfe266d5b5f042c5976deb91bcd5fc66,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x4u_42Z,8x4_affine_per_channel,0.9926999807357788,testing
2023-10-11 21:06:48,8.2min,dd80ef5bc2c04763b543af15d16f9f5e,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x4u_42Z,8x4_affine_per_tensor,0.992900013923645,testing
2023-10-11 23:20:47,8.6min,d56cb64e25cd4f6c8aba1d85f89b60fe,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x4u_409,8x4_affine_per_channel,0.9923999905586243,testing
2023-10-11 23:11:47,9.0min,dd868af276c741fcbf85a49eebb1803c,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x4u_409,8x4_affine_per_tensor,0.9894000291824341,testing
2023-10-12 00:28:38,9.6min,e62aa75a6bdd46eb8698c8d2d224717d,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x4u_3UF,8x4_affine_per_channel,0.14800000190734863,testing
2023-10-12 00:20:24,8.2min,6d947c53f4684fcd8ad05fbe6965de8a,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x4u_3UF,8x4_affine_per_tensor,0.1444000005722046,testing
2023-10-12 11:34:15,6.7min,2b4ef037266044de8f701dce2a7cb216,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x4u_3RR,8x4_affine_per_channel,0.19099999964237213,testing
2023-10-12 11:26:37,7.6min,28221f5093fe4669bc3b605fea48eddb,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x4u_3RR,8x4_affine_per_tensor,0.11349999904632568,testing
2023-10-12 10:30:24,8.3min,c74b086c19e4491e9aed9eb6c72a9ed1,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x4u_3NP,8x4_affine_per_channel,0.9929999709129333,testing
2023-10-12 10:22:10,8.2min,97c144383e3e4fb68e0f6db349607567,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x4u_3NP,8x4_affine_per_tensor,0.9925000071525574,testing
2023-10-12 11:03:43,8.2min,11757ed2b4dd43d9b1c0c6b125b5bf6b,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x4u_3N3,8x4_affine_per_channel,0.9930999875068665,testing
